tiempo,EMG,Integrated EMG,,,,
22.82024648,-3.67738,3.68027,,,,
22.82124645,-3.68025,3.68029,,,,
22.82224642,-3.68143,3.6803,,,,
22.82324638,-3.68081,3.68028,,,,
22.82424635,-3.6793,3.68023,,,,
22.82524632,-3.67817,3.68019,,,,
22.82624629,-3.67829,3.68017,,,,
22.82724625,-3.67971,3.68017,,,,
22.82824622,-3.68183,3.6802,,,,
22.82924619,-3.68255,3.68024,,,,
22.83024615,-3.68059,3.68026,,,,
22.83124612,-3.67771,3.68023,,,,
22.83224609,-3.67682,3.68019,,,,
22.83324605,-3.67883,3.6802,,,,
22.83424602,-3.68091,3.68024,,,,
22.83524599,-3.68116,3.68028,,,,
22.83624596,-3.68098,3.6803,,,,
22.83724592,-3.68063,3.68029,,,,
22.83824589,-3.67983,3.68024,,,,
22.83924586,-3.67985,3.6802,,,,
22.84024582,-3.68145,3.68022,,,,
22.84124579,-3.68261,3.68027,,,,
22.84224576,-3.68098,3.6803,,,,
22.84324572,-3.67856,3.68029,,,,
22.84424569,-3.67746,3.68025,,,,
22.84524566,-3.6771,3.68023,,,,
22.84624563,-3.67824,3.68022,,,,
22.84724559,-3.68024,3.68021,,,,
22.84824556,-3.68126,3.68019,,,,
22.84924553,-3.68154,3.68016,,,,
22.85024549,-3.67994,3.68013,,,,
22.85124546,-3.67701,3.68009,,,,
22.85224543,-3.67676,3.68007,,,,
22.85324539,-3.6791,3.68009,,,,
22.85424536,-3.68109,3.68012,,,,
22.85524533,-3.6811,3.68014,,,,
22.85624529,-3.67991,3.68013,,,,
22.85724526,-3.67979,3.6801,,,,
22.85824523,-3.67986,3.6801,,,,
22.8592452,-3.67883,3.6801,,,,
22.86024516,-3.67966,3.68012,,,,
22.86124513,-3.68317,3.68014,,,,
22.8622451,-3.68357,3.68014,,,,
22.86324506,-3.67883,3.68011,,,,
22.86424503,-3.67531,3.68008,,,,
22.865245,-3.67621,3.68007,,,,
22.86624496,-3.67942,3.68008,,,,
22.86724493,-3.68326,3.68012,,,,
22.8682449,-3.68388,3.68015,,,,
22.86924487,-3.68004,3.68013,,,,
22.87024483,-3.67785,3.68007,,,,
22.8712448,-3.67925,3.68003,,,,
22.87224477,-3.68077,3.68006,,,,
22.87324473,-3.68254,3.68012,,,,
22.8742447,-3.68382,3.68017,,,,
22.87524467,-3.68185,3.68018,,,,
22.87624463,-3.67941,3.68018,,,,
22.8772446,-3.68,3.6802,,,,
22.87824457,-3.68141,3.68022,,,,
22.87924454,-3.68161,3.68022,,,,
22.8802445,-3.68215,3.68024,,,,
22.88124447,-3.6827,3.68025,,,,
22.88224444,-3.68147,3.68024,,,,
22.8832444,-3.68,3.68024,,,,
22.88424437,-3.67951,3.68026,,,,
22.88524434,-3.67963,3.68029,,,,
22.8862443,-3.68127,3.68033,,,,
22.88724427,-3.68289,3.68038,,,,
22.88824424,-3.68132,3.6804,,,,
22.88924421,-3.67895,3.68038,,,,
22.89024417,-3.67884,3.68037,,,,
22.89124414,-3.67888,3.68038,,,,
22.89224411,-3.67876,3.68038,,,,
22.89324407,-3.67992,3.68038,,,,
22.89424404,-3.68093,3.68041,,,,
22.89524401,-3.68097,3.68043,,,,
22.89624397,-3.68056,3.6804,,,,
22.89724394,-3.68046,3.68036,,,,
22.89824391,-3.68078,3.68036,,,,
22.89924388,-3.68003,3.68035,,,,
22.90024384,-3.67968,3.6803,,,,
22.90124381,-3.6813,3.68027,,,,
22.90224378,-3.68064,3.68025,,,,
22.90324374,-3.67756,3.68023,,,,
22.90424371,-3.67755,3.68021,,,,
22.90524368,-3.68004,3.68021,,,,
22.90624364,-3.68132,3.6802,,,,
22.90724361,-3.6814,3.68019,,,,
22.90824358,-3.68057,3.68017,,,,
22.90924354,-3.67917,3.68011,,,,
22.91024351,-3.67868,3.68006,,,,
22.91124348,-3.67879,3.68005,,,,
22.91224345,-3.67915,3.68006,,,,
22.91324341,-3.6813,3.68007,,,,
22.91424338,-3.68325,3.68009,,,,
22.91524335,-3.6815,3.6801,,,,
22.91624331,-3.67841,3.68009,,,,
22.91724328,-3.67777,3.68006,,,,
22.91824325,-3.67958,3.68006,,,,
22.91924321,-3.68226,3.68012,,,,
22.92024318,-3.68347,3.68018,,,,
22.92124315,-3.68196,3.68019,,,,
22.92224312,-3.67868,3.68017,,,,
22.92324308,-3.67613,3.68012,,,,
22.92424305,-3.67647,3.68009,,,,
22.92524302,-3.67863,3.6801,,,,
